Gene,TotalEvidenceCounts,EvidenceHit:root_angle|5 OSDR|3 OSDR,EvidenceHit:tortosity|5 OSDR,EvidenceHit:tortosity|5 OSDR|3 OSDR,EvidencePPI:tortosity|5 OSDR|3 OSDR
831891,2.0,0,0,1,1
831597,2.0,0,0,1,1
821817,2.0,0,0,1,1
819849,2.0,0,0,1,1
838899,2.0,0,0,1,1
824836,2.0,0,0,1,1
824765,2.0,0,0,1,1
831039,2.0,0,0,1,1
829597,2.0,0,0,1,1
816737,2.0,0,0,1,1
814663,2.0,0,0,1,1
829913,1.0,0,1,0,0
831041,1.0,0,0,1,0
839081,1.0,0,0,1,0
816244,1.0,0,0,1,0
834996,1.0,1,0,0,0
831738,1.0,0,0,1,0
836158,1.0,0,0,1,0
815840,1.0,1,0,0,0
818988,1.0,0,0,1,0
819756,1.0,0,1,0,0
829600,1.0,0,0,1,0
831043,1.0,0,1,0,0
832352,1.0,1,0,0,0
820196,1.0,1,0,0,0
832593,1.0,0,1,0,0
824766,1.0,0,1,0,0
818986,1.0,0,0,1,0
814662,1.0,0,0,1,0
842007,1.0,1,0,0,0
836071,1.0,0,0,1,0
816245,1.0,0,0,1,0
841482,1.0,0,0,1,0
833524,1.0,1,0,0,0
