gene,AGI,ecotype,treatment,log2FC_flight_vs_ground
PIN1,AT1G73590,Col-0,Dark,-0.61
PIN1,AT1G73590,Col-0,Light,0.14
PIN1,AT1G73590,Col-0 PhyD,Dark,0.12
PIN1,AT1G73590,Col-0 PhyD,Light,-0.55
PIN1,AT1G73590,WS,Dark,-0.02
PIN1,AT1G73590,WS,Light,-0.28
PIN3,AT1G70940,Col-0,Dark,-0.65
PIN3,AT1G70940,Col-0,Light,-0.04
PIN3,AT1G70940,Col-0 PhyD,Dark,0.55
PIN3,AT1G70940,Col-0 PhyD,Light,-0.99
PIN3,AT1G70940,WS,Dark,0.29
PIN3,AT1G70940,WS,Light,-0.30
PIN4,AT2G01420,Col-0,Dark,-0.30
PIN4,AT2G01420,Col-0,Light,0.10
PIN4,AT2G01420,Col-0 PhyD,Dark,1.02
PIN4,AT2G01420,Col-0 PhyD,Light,-0.42
PIN4,AT2G01420,WS,Dark,0.06
PIN4,AT2G01420,WS,Light,-0.49
PIN7,AT1G23080,Col-0,Dark,-0.86
PIN7,AT1G23080,Col-0,Light,-0.33
PIN7,AT1G23080,Col-0 PhyD,Dark,1.03
PIN7,AT1G23080,Col-0 PhyD,Light,-0.63
PIN7,AT1G23080,WS,Dark,0.15
PIN7,AT1G23080,WS,Light,-0.41
AUX1,AT2G38120,Col-0,Dark,-0.06
AUX1,AT2G38120,Col-0,Light,0.03
AUX1,AT2G38120,Col-0 PhyD,Dark,-0.42
AUX1,AT2G38120,Col-0 PhyD,Light,-0.54
AUX1,AT2G38120,WS,Dark,0.12
AUX1,AT2G38120,WS,Light,-0.01
